07/2013,QUEENS
07/2013,BRONX
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,BRONX
07/2013,BRONX
07/2013,MANHATTAN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,QUEENS
07/2013,BRONX
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,QUEENS
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,BRONX
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,QUEENS
07/2013,QUEENS
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,QUEENS
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,BRONX
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,STATEN ISLAND
07/2013,MANHATTAN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,BRONX
07/2013,QUEENS
07/2013,MANHATTAN
07/2013,QUEENS
07/2013,QUEENS
07/2013,BRONX
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,STATEN ISLAND
07/2013,MANHATTAN
07/2013,STATEN ISLAND
07/2013,QUEENS
07/2013,STATEN ISLAND
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,STATEN ISLAND
07/2013,BRONX
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,QUEENS
07/2013,STATEN ISLAND
07/2013,STATEN ISLAND
07/2013,QUEENS
07/2013,MANHATTAN
07/2013,MANHATTAN
07/2013,QUEENS
07/2013,BRONX
07/2013,QUEENS
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,BRONX
07/2013,BRONX
07/2013,BRONX
07/2013,STATEN ISLAND
07/2013,BRONX
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,BRONX
07/2013,STATEN ISLAND
07/2013,MANHATTAN
07/2013,QUEENS
07/2013,BRONX
07/2013,BROOKLYN
07/2013,BRONX
07/2013,QUEENS
07/2013,BRONX
07/2013,BRONX
07/2013,BROOKLYN
07/2013,BRONX
07/2013,BRONX
07/2013,BRONX
07/2013,MANHATTAN
07/2013,BRONX
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,STATEN ISLAND
07/2013,BRONX
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,BRONX
07/2013,STATEN ISLAND
07/2013,MANHATTAN
07/2013,BRONX
07/2013,BRONX
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,BRONX
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,MANHATTAN
07/2013,BRONX
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,BRONX
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,BRONX
07/2013,MANHATTAN
07/2013,QUEENS
07/2013,MANHATTAN
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,MANHATTAN
07/2013,MANHATTAN
07/2013,MANHATTAN
07/2013,BROOKLYN
07/2013,STATEN ISLAND
07/2013,BROOKLYN
07/2013,BRONX
07/2013,MANHATTAN
07/2013,STATEN ISLAND
07/2013,BRONX
07/2013,STATEN ISLAND
07/2013,BRONX
07/2013,QUEENS
07/2013,BROOKLYN
07/2013,STATEN ISLAND
07/2013,BRONX
07/2013,BROOKLYN
07/2013,BROOKLYN
07/2013,QUEENS
07/2013,MANHATTAN
07/2013,MANHATTAN
07/2013,MANHATTAN
